col,levels,chi2,dof,p,q_bh
ConnectionOrg,36,52.837927667176814,35,0.027005605905586014,0.27005605905586016
ConnectionType,11,9.248039852694273,10,0.5087367291584745,0.8845187660750937
ConnectionSpeed,4,0.7569620229286568,3,0.8597309695963663,0.9237227226215176
V6CF,11,10.95812378625575,10,0.3607898544551507,0.8845187660750937
channel,4,1.044655679453296,3,0.7904483460940428,0.9237227226215176
webSessOS,20,11.839840510485972,14,0.6191631362525656,0.8845187660750937
webSessWebBrowser,13,10.625356600155587,12,0.5612687380766408,0.8845187660750937
Region,65,19.53397774117768,20,0.4873996077900664,0.8845187660750937
State,459,92.24342463058997,113,0.9237227226215174,0.9237227226215176
Country,17,20.80723577233848,16,0.18603980854172006,0.8845187660750937
