col,level,n,frauds,rate,lift,ci_lo,ci_hi,p,q_bh
ConnectionOrg,comcast cable communications ip services,892,42,0.04708520179372197,1.6485404792537248,0.035021041600056285,0.06303379309393425,0.002352665304901507,0.31525715085680195
V6CF,org,1315,52,0.03954372623574144,1.3844993950697948,0.03028169795451932,0.05148824318170203,0.020269690750703607,0.9115030658071264
Region,northeast,23185,717,0.030925167133922796,1.082747612961407,0.028773337235991306,0.033232416427874334,0.03164235126850386,0.9115030658071264
State,new york,21448,665,0.03100522193211488,1.0855504803242,0.02876814926920028,0.03341026994866305,0.033013800534819504,0.9115030658071264
ConnectionOrg,wide open west,310,3,0.00967741935483871,0.33882444873141077,0.0032964887798659585,0.02806200544142274,0.03995595880671242,0.9115030658071264
ConnectionType,consumer satellite,287,14,0.04878048780487805,1.7078955952315014,0.02927653204861261,0.08020436752008735,0.049069458376486484,0.9115030658071264
ConnectionOrg,jpmorgan chase & co.,1244,47,0.03778135048231511,1.3227953424481924,0.02852988350041399,0.04987878631793474,0.06027406505031105,0.9115030658071264
Region,mountain,2910,100,0.03436426116838488,1.203156690798824,0.028335435759562645,0.041620872091900546,0.0659588245583098,0.9115030658071264
ConnectionOrg,mci communications services inc. d/b/a verizon business,6404,160,0.024984384759525295,0.8747497739474271,0.021437011234647786,0.029101316679075923,0.0912272333847447,0.9115030658071264
ConnectionOrg,comcast cable communications inc,472,20,0.0423728813559322,1.4835533772138039,0.027594684412148948,0.064540177272916,0.0944122101013241,0.9115030658071264
webSessOS,Windows Phone,262,12,0.04580152671755725,1.6035966275837759,0.026391384519231027,0.07833865020821569,0.09460582638254195,0.9115030658071264
Country,ca,281,13,0.046263345195729534,1.6197657513494486,0.02723272513837907,0.0775328708981549,0.10188462049513586,0.9115030658071264
State,connecticut,808,31,0.038366336633663366,1.3432767955069542,0.0271584455496485,0.05394308952813022,0.11142021587939427,0.9115030658071264
Country,mx,465,19,0.04086021505376344,1.4305921168659566,0.026311822559321865,0.062932817848014,0.12300395086967415,0.9115030658071264
webSessOS,Windows XP,560,22,0.039285714285714285,1.3754659168739412,0.026084498189899687,0.05876486375856242,0.12720258620682634,0.9115030658071264
State,michigan,3526,86,0.024390243902439025,0.8539477976157507,0.01979269506110021,0.030023024715107312,0.14260188686627537,0.9115030658071264
webSessOS,Windows 8.1,5551,140,0.025220680958385876,0.8830229433101078,0.02141260970560535,0.02968544500760195,0.1466897634751392,0.9115030658071264
State,maryland,528,9,0.017045454545454544,0.5967930631064621,0.00899298091609295,0.03207488590741239,0.14788571086397365,0.9115030658071264
ConnectionOrg,scansafe services llc,446,18,0.04035874439461883,1.4130346965031926,0.0256787293971231,0.06288933545059218,0.1518654681030076,0.9115030658071264
