key,n_groups,rows_in_multi,obs_fraud_pairs,null_mean,null_sd,z,p
AddressUpdateDate,66794,106058,31016.0,39390.2625,4360.637377677001,-1.920421666536541,0.9765117441279361
EmailUpdateDate,66942,105948,19782.0,21647.432,2527.765289218127,-0.7379767448966771,0.7731134432783608
Address+Email,137144,2394,85.0,122.124,53.83888579827781,-0.6895387868741428,0.7371314342828585
TransactionDateTime(sec),82445,93597,70.0,68.0195,8.494475837272129,0.23315152552556012,0.4217891054472764
Last lat/long,86051,62230,2716.0,2426.8275,246.79680659147516,1.1717027622592775,0.1199400299850075
Current long,3603,137973,194685.0,189490.933,8844.692580045448,0.5872524062304176,0.2708645677161419
ConnectionOrg(raw),7620,135999,273612.0,285072.469,9320.821565937147,-1.2295556694146101,0.8885557221389305
AreaCode+V4+V5,59861,95594,1328.0,1343.544,114.10401861459569,-0.13622657807086014,0.5287356321839081
MainEntityUse,4659,134654,56010.0,55142.5575,1556.231768308869,0.5573993010967978,0.2898550724637681
AddressUpdateDate [groups 2-50],66794,95940,109.0,96.281,10.140169574518959,1.2543182741205166,0.11694152923538231
EmailUpdateDate [groups 2-50],66942,95647,87.0,95.7725,10.30120108288349,-0.8515997240920197,0.8200899550224887
Last lat/long [groups 2-50],86051,42844,189.0,183.2025,20.006261363633136,0.2897842777630887,0.36931534232883556
AreaCode+V4+V5 [groups 2-50],59861,79335,332.0,337.549,24.88181261483978,-0.223014299074437,0.5837081459270365
TransactionDateTime(sec) [groups 2-50],82445,93597,70.0,68.0825,8.242553836645534,0.2326342099793148,0.41629185407296354
