feature,n,auc,p,q_bh,abs_dev
LastLong,114363,0.5116754195231514,0.022273907481233552,0.599737702013591,0.011675419523151431
n_missing,138752,0.4916166370231349,0.04552469984260973,0.599737702013591,0.008383362976865094
MainEntityUse_isna,138752,0.4973333822916395,0.05014197723285016,0.599737702013591,0.002666617708360519
TimeZone,138748,0.49149930847054846,0.054221935823973194,0.599737702013591,0.008500691529451543
pair_n,138752,0.49799957150998525,0.05671280779080447,0.599737702013591,0.0020004284900147495
partial_geo,138752,0.4924099676977207,0.0642576109300276,0.599737702013591,0.0075900323022792815
org_n,138752,0.492162591777846,0.0916243756863922,0.672480559880777,0.007837408222154008
v5_zero,138752,0.49732498138926334,0.10956305263886319,0.672480559880777,0.002675018610736657
CurrentLat,114373,0.49239247902640554,0.13588966895433519,0.672480559880777,0.0076075209735944616
LastLat_isna,138752,0.4954439599091004,0.1364405747280164,0.672480559880777,0.004556040090899605
WebSessionRetail_isna,138752,0.49800868754210126,0.14154372508002724,0.672480559880777,0.001991312457898742
in_tail_period,138752,0.49812319815971584,0.14410297711730938,0.672480559880777,0.001876801840284159
IsOldDevice_isna,138752,0.501786279894101,0.18895897586318655,0.7855218865433127,0.0017862798941009617
addr_org_n,138752,0.4969765297433401,0.249527299784562,0.7855218865433127,0.003023470256659888
AreaCode_isna,138752,0.5000853625284788,0.2546652685510401,0.7855218865433127,8.5362528478794e-05
email_update_year,138726,0.5051347215252809,0.2671746746466347,0.7855218865433127,0.005134721525280939
email_age_days,138726,0.494878012861371,0.2709423562209785,0.7855218865433127,0.005121987138628992
email_update_hour,138726,0.5049038248695545,0.290827608831861,0.7855218865433127,0.0049038248695545406
CurrentLat_isna,138752,0.4968431018848317,0.3032985501537504,0.7855218865433127,0.003156898115168283
addr_update_year,138752,0.5045278692209371,0.32144120422315736,0.7855218865433127,0.004527869220937064
hour,138752,0.5045557171592762,0.3267356150827151,0.7855218865433127,0.0045557171592761625
addr_age_days,138752,0.49551289223820216,0.33482550014566415,0.7855218865433127,0.004487107761797837
email_n,138752,0.5042432026548491,0.3513793268392438,0.7855218865433127,0.004243202654849121
email_update_dow,138726,0.4957147628010587,0.35150271673640354,0.7855218865433127,0.004285237198941305
V3CF,138752,0.49572436564982725,0.35368354481251274,0.7855218865433127,0.004275634350172752
email_date_isna,138752,0.49990355296055317,0.38190456820077656,0.7855218865433127,9.644703944683419e-05
V2CF,138752,0.5039807135350005,0.3878335610469247,0.7855218865433127,0.003980713535000513
tz_long_gap,138748,0.5039758078283026,0.39276094327165634,0.7855218865433127,0.0039758078283026466
geo_dist_km,77898,0.505079087620659,0.4074232666938854,0.7867483770640546,0.005079087620659006
hour_sin,138752,0.496395158281865,0.4376681942569344,0.8169806292796108,0.003604841718135021
AreaCode,138740,0.5033734199688925,0.4680202354635521,0.819458156018797,0.0033734199688925104
areacode_eq_v4,138740,0.4995746178495227,0.4802430034273363,0.819458156018797,0.00042538215047732697
addr_n,138752,0.5030489294370197,0.5031909071485947,0.819458156018797,0.0030489294370197317
LastLong_isna,138752,0.49797489578982473,0.509106756797103,0.819458156018797,0.002025104210175266
addr_update_after_txn,138752,0.5004428824687998,0.5232038277684993,0.819458156018797,0.00044288246879975457
IsOldDevice,134682,0.5018952925141593,0.5504952971334405,0.819458156018797,0.001895292514159319
addr_age_lt_1d,138752,0.5004356394400993,0.5557180074996302,0.819458156018797,0.000435639440099278
hour_cos,138752,0.502483796288015,0.5928060570561763,0.819458156018797,0.0024837962880149833
geo_moved,77898,0.4998259722842493,0.5996391393755464,0.819458156018797,0.00017402771575070197
txn_same_sec_n,138752,0.5021585358128184,0.6277551681874965,0.819458156018797,0.0021585358128184406
V1CF,138752,0.5015324181967817,0.6346036099493507,0.819458156018797,0.0015324181967817374
MainEntityUse,134672,0.5020780285496544,0.6590781050747672,0.819458156018797,0.0020780285496544426
email_age_lt_1d,138752,0.4996749716611588,0.6641699383282382,0.819458156018797,0.0003250283388411823
email_update_after_txn,138752,0.49969714068309495,0.6760972276188502,0.819458156018797,0.0003028593169050464
addr_update_hour,138752,0.5017940442935673,0.6987006709482068,0.819458156018797,0.0017940442935673317
addr_update_dow,138752,0.5016703708421522,0.7167481777929086,0.819458156018797,0.001670370842152158
V4CF,138752,0.5016519066415647,0.7211058214370595,0.819458156018797,0.001651906641564671
addr_email_gap_days,138726,0.4983541175057037,0.723520363855884,0.819458156018797,0.0016458824942963135
days_since_start,138752,0.5016064416131285,0.72988270743865,0.819458156018797,0.0016064416131285064
tz_sentinel,138752,0.4999851619939313,0.7316590678739259,0.819458156018797,1.4838006068718101e-05
v4_zero,138752,0.5004602140686212,0.7783365484646232,0.8546440532160569,0.00046021406862117864
is_weekend,138752,0.5009414907673558,0.8071959353868792,0.8692879304166391,0.0009414907673558348
V5CF,138752,0.5008835895953019,0.8486311852330082,0.8823593608721543,0.0008835895953018813
dow,138752,0.5008598836060452,0.8508465265552916,0.8823593608721543,0.0008598836060451642
CurrentLong,138752,0.49972858111873986,0.9534371797201963,0.9707724011696544,0.0002714188812601437
LastLat,114521,0.5000013789284877,0.9997840595359162,0.9997840595359163,1.378928487727471e-06
